topic,group,subgroup,year,estimate
Angina/angina pectoris,Total,18 years and older,2019,1.7
Angina/angina pectoris,Total,18 years and older,2020,1.5
Angina/angina pectoris,Total,18 years and older,2021,1.5
Angina/angina pectoris,Total,18 years and older,2022,1.6
Angina/angina pectoris,Total,18 years and older,2023,1.6
Angina/angina pectoris,Age groups with 65 years and older,18-34 years,2019,0.2
Angina/angina pectoris,Age groups with 65 years and older,18-34 years,2020,0.3
Angina/angina pectoris,Age groups with 65 years and older,18-34 years,2021,0.4
Angina/angina pectoris,Age groups with 65 years and older,18-34 years,2022,0.2
Angina/angina pectoris,Age groups with 65 years and older,18-34 years,2023,0.3
Angina/angina pectoris,Age groups with 65 years and older,35-49 years,2019,0.9
Angina/angina pectoris,Age groups with 65 years and older,35-49 years,2020,0.5
Angina/angina pectoris,Age groups with 65 years and older,35-49 years,2021,0.6
Angina/angina pectoris,Age groups with 65 years and older,35-49 years,2022,0.7
Angina/angina pectoris,Age groups with 65 years and older,35-49 years,2023,0.8
Angina/angina pectoris,Age groups with 65 years and older,50-64 years,2019,1.9
Angina/angina pectoris,Age groups with 65 years and older,50-64 years,2020,1.7
Angina/angina pectoris,Age groups with 65 years and older,50-64 years,2021,1.8
Angina/angina pectoris,Age groups with 65 years and older,50-64 years,2022,1.7
Angina/angina pectoris,Age groups with 65 years and older,50-64 years,2023,2.0
Angina/angina pectoris,Age groups with 65 years and older,65 years and older,2019,4.4
Angina/angina pectoris,Age groups with 65 years and older,65 years and older,2020,3.9
Angina/angina pectoris,Age groups with 65 years and older,65 years and older,2021,3.7
Angina/angina pectoris,Age groups with 65 years and older,65 years and older,2022,4.5
Angina/angina pectoris,Age groups with 65 years and older,65 years and older,2023,3.8
Angina/angina pectoris,Age groups with 75 years and older,18-44 years,2019,0.5
Angina/angina pectoris,Age groups with 75 years and older,18-44 years,2020,0.3
Angina/angina pectoris,Age groups with 75 years and older,18-44 years,2021,0.4
Angina/angina pectoris,Age groups with 75 years and older,18-44 years,2022,0.4
Angina/angina pectoris,Age groups with 75 years and older,18-44 years,2023,0.4
Angina/angina pectoris,Age groups with 75 years and older,45-64 years,2019,1.7
Angina/angina pectoris,Age groups with 75 years and older,45-64 years,2020,1.5
Angina/angina pectoris,Age groups with 75 years and older,45-64 years,2021,1.6
Angina/angina pectoris,Age groups with 75 years and older,45-64 years,2022,1.5
Angina/angina pectoris,Age groups with 75 years and older,45-64 years,2023,1.8
Angina/angina pectoris,Age groups with 75 years and older,65-74 years,2019,3.4
Angina/angina pectoris,Age groups with 75 years and older,65-74 years,2020,3.1
Angina/angina pectoris,Age groups with 75 years and older,65-74 years,2021,2.9
Angina/angina pectoris,Age groups with 75 years and older,65-74 years,2022,4.3
Angina/angina pectoris,Age groups with 75 years and older,65-74 years,2023,3.2
Angina/angina pectoris,Age groups with 75 years and older,75 years and older,2019,5.7
Angina/angina pectoris,Age groups with 75 years and older,75 years and older,2020,5.1
Angina/angina pectoris,Age groups with 75 years and older,75 years and older,2021,4.8
Angina/angina pectoris,Age groups with 75 years and older,75 years and older,2022,4.9
Angina/angina pectoris,Age groups with 75 years and older,75 years and older,2023,4.5
Angina/angina pectoris,Disability status,With disability,2019,6.4
Angina/angina pectoris,Disability status,With disability,2020,5.7
Angina/angina pectoris,Disability status,With disability,2021,6.2
Angina/angina pectoris,Disability status,With disability,2022,6.3
Angina/angina pectoris,Disability status,With disability,2023,5.7
Angina/angina pectoris,Disability status,Without disability,2019,1.2
Angina/angina pectoris,Disability status,Without disability,2020,1.0
Angina/angina pectoris,Disability status,Without disability,2021,1.1
Angina/angina pectoris,Disability status,Without disability,2022,1.2
Angina/angina pectoris,Disability status,Without disability,2023,1.2
Angina/angina pectoris,Functioning difficulties status,With functioning difficulties,2019,3.2
Angina/angina pectoris,Functioning difficulties status,With functioning difficulties,2020,2.7
Angina/angina pectoris,Functioning difficulties status,With functioning difficulties,2021,2.8
Angina/angina pectoris,Functioning difficulties status,With functioning difficulties,2022,3.2
Angina/angina pectoris,Functioning difficulties status,With functioning difficulties,2023,2.9
Angina/angina pectoris,Functioning difficulties status,Without functioning difficulties,2019,0.6
Angina/angina pectoris,Functioning difficulties status,Without functioning difficulties,2020,0.5
Angina/angina pectoris,Functioning difficulties status,Without functioning difficulties,2021,0.5
Angina/angina pectoris,Functioning difficulties status,Without functioning difficulties,2022,0.4
Angina/angina pectoris,Functioning difficulties status,Without functioning difficulties,2023,0.5
Angina/angina pectoris,Marital status,Married,2019,1.7
Angina/angina pectoris,Marital status,Married,2020,1.5
Angina/angina pectoris,Marital status,Married,2021,1.6
Angina/angina pectoris,Marital status,Married,2022,1.8
Angina/angina pectoris,Marital status,Married,2023,1.7
Angina/angina pectoris,Marital status,Divorced or separated,2019,2.4
Angina/angina pectoris,Marital status,Divorced or separated,2020,2.2
Angina/angina pectoris,Marital status,Divorced or separated,2021,2.3
Angina/angina pectoris,Marital status,Divorced or separated,2022,2.4
Angina/angina pectoris,Marital status,Divorced or separated,2023,3.0
Angina/angina pectoris,Marital status,Widowed,2019,4.7
Angina/angina pectoris,Marital status,Widowed,2020,4.6
Angina/angina pectoris,Marital status,Widowed,2021,3.3
Angina/angina pectoris,Marital status,Widowed,2022,4.2
Angina/angina pectoris,Marital status,Widowed,2023,4.1
Angina/angina pectoris,Marital status,Living with a partner,2019,1.1
Angina/angina pectoris,Marital status,Living with a partner,2020,0.8
Angina/angina pectoris,Marital status,Living with a partner,2021,1.1
Angina/angina pectoris,Marital status,Living with a partner,2022,1.0
Angina/angina pectoris,Marital status,Living with a partner,2023,1.0
Angina/angina pectoris,Marital status,Never married,2019,0.6
Angina/angina pectoris,Marital status,Never married,2020,0.6
Angina/angina pectoris,Marital status,Never married,2021,0.8
Angina/angina pectoris,Marital status,Never married,2022,0.7
Angina/angina pectoris,Marital status,Never married,2023,0.5
Angina/angina pectoris,Nativity,U.S.-born,2019,1.7
Angina/angina pectoris,Nativity,U.S.-born,2020,1.6
Angina/angina pectoris,Nativity,U.S.-born,2021,1.6
Angina/angina pectoris,Nativity,U.S.-born,2022,1.8
Angina/angina pectoris,Nativity,U.S.-born,2023,1.6
Angina/angina pectoris,Nativity,Foreign-born,2019,1.4
Angina/angina pectoris,Nativity,Foreign-born,2020,0.8
Angina/angina pectoris,Nativity,Foreign-born,2021,1.3
Angina/angina pectoris,Nativity,Foreign-born,2022,1.2
Angina/angina pectoris,Nativity,Foreign-born,2023,1.5
Angina/angina pectoris,Race,American Indian and Alaska Native only,2019,1.7
Angina/angina pectoris,Race,American Indian and Alaska Native only,2021,2.8
Angina/angina pectoris,Race,American Indian and Alaska Native only,2023,2.1
Angina/angina pectoris,Race,Asian only,2019,1.1
Angina/angina pectoris,Race,Asian only,2020,0.9
