,TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
9366,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2019,,10.5,,9.7,11.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9367,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2020,,9.1,,8.2,10.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9368,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2021,,8.7,,7.9,9.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9369,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2022,,8.3,,7.5,9.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9370,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2023,,8.7,,7.9,9.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9371,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,,,"Percent of population, crude",1,2024,,10.7,,9.8,11.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9372,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2019,,10.9,,10.0,11.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9373,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2020,,8.8,,7.9,9.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9374,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2021,,8.3,,7.5,9.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9375,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2022,,9.4,,8.5,10.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9376,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2023,,9.0,,8.2,9.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9377,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2024,,10.8,,9.9,11.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9378,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2019,,10.3,,9.5,11.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9379,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2020,,8.6,,7.9,9.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9380,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2021,,8.4,,7.7,9.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9381,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2022,,7.1,,6.4,7.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9382,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2023,,7.8,,7.0,8.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9383,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2024,,9.5,,8.7,10.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9384,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2019,,3.4,,3.0,4.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9385,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2020,,2.7,,2.3,3.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9386,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2021,,2.5,,2.1,2.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9387,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2022,,2.7,,2.3,3.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9388,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2023,,2.5,,2.2,2.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
9389,Delayed getting medical care due to cost among adults,,,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2024,,2.6,,2.3,3.0,,"NT_NHISA00,NT_NHISA999,FN_NHISA34,SC_NHISA00"
